scenario_id,plan_id,year,entity,metric,value,unit
BASE,base-v1,2035,hub,demand_total_t,100.0,t
BASE,base-v1,2035,hub,demand_critical_t,80.0,t
BASE,base-v1,2035,hub,opening_stock_t,15.0,t
BASE,base-v1,2035,hub,ordered_t,115.0,t
BASE,base-v1,2035,hub,delivered_plan_t,115.0,t
BASE,base-v1,2035,hub,delivered_actual_t,115.0,t
BASE,base-v1,2035,hub,losses_t,5.175,t
BASE,base-v1,2035,hub,loss_share,0.045,share
BASE,base-v1,2035,hub,served_total_t,100.0,t
BASE,base-v1,2035,hub,served_critical_t,80.0,t
BASE,base-v1,2035,hub,shortage_total_t,0.0,t
BASE,base-v1,2035,hub,shortage_critical_t,0.0,t
BASE,base-v1,2035,hub,closing_stock_t,24.825,t
BASE,base-v1,2035,hub,service_level_total,1.0,share
BASE,base-v1,2035,hub,service_level_critical,1.0,share
BASE,base-v1,2035,hub,reserve_required_t,12.328767,t
BASE,base-v1,2035,hub,reserve_days_at_start,54.75,days
BASE,base-v1,2035,hub,reserve_equivalent_days,54.75,days
BASE,base-v1,2035,hub,storage_capacity_t,70.0,t
BASE,base-v1,2035,hub,max_stock_t,24.825,t
BASE,base-v1,2035,hub,overflow_t,0.0,t
BASE,base-v1,2035,hub,emergency_base_channel,0,
BASE,base-v1,2035,hub,emergency_streak_years,0,
BASE,base-v1,2036,hub,demand_total_t,140.0,t
BASE,base-v1,2036,hub,demand_critical_t,105.0,t
BASE,base-v1,2036,hub,opening_stock_t,24.825,t
BASE,base-v1,2036,hub,ordered_t,160.0,t
BASE,base-v1,2036,hub,delivered_plan_t,160.0,t
BASE,base-v1,2036,hub,delivered_actual_t,160.0,t
BASE,base-v1,2036,hub,losses_t,7.2,t
BASE,base-v1,2036,hub,loss_share,0.045,share
BASE,base-v1,2036,hub,served_total_t,140.0,t
BASE,base-v1,2036,hub,served_critical_t,105.0,t
BASE,base-v1,2036,hub,shortage_total_t,0.0,t
BASE,base-v1,2036,hub,shortage_critical_t,0.0,t
BASE,base-v1,2036,hub,closing_stock_t,37.625,t
BASE,base-v1,2036,hub,service_level_total,1.0,share
BASE,base-v1,2036,hub,service_level_critical,1.0,share
BASE,base-v1,2036,hub,reserve_required_t,17.260274,t
BASE,base-v1,2036,hub,reserve_days_at_start,64.722321,days
BASE,base-v1,2036,hub,reserve_equivalent_days,64.722321,days
BASE,base-v1,2036,hub,storage_capacity_t,70.0,t
BASE,base-v1,2036,hub,max_stock_t,37.625,t
BASE,base-v1,2036,hub,overflow_t,0.0,t
BASE,base-v1,2036,hub,emergency_base_channel,0,
BASE,base-v1,2036,hub,emergency_streak_years,0,
BASE,base-v1,2037,hub,demand_total_t,190.0,t
BASE,base-v1,2037,hub,demand_critical_t,135.0,t
BASE,base-v1,2037,hub,opening_stock_t,37.625,t
BASE,base-v1,2037,hub,ordered_t,205.0,t
BASE,base-v1,2037,hub,delivered_plan_t,205.0,t
BASE,base-v1,2037,hub,delivered_actual_t,205.0,t
BASE,base-v1,2037,hub,losses_t,2.46,t
BASE,base-v1,2037,hub,loss_share,0.012,share
BASE,base-v1,2037,hub,served_total_t,190.0,t
