index,year,month,period,storage_id,capacity_t,opening_t,inflow_t,losses_t,demand_t,demand_critical_t,served_t,served_critical_t,shortage_t,shortage_critical_t,closing_t,overflow_t,holding_mln
0,2035,1,2035-01,BASE,70.0,15.0,9.583333,0.43125,8.333333,6.666667,8.333333,6.666667,0.0,0.0,15.81875,0.0,0.924562
1,2035,2,2035-02,BASE,70.0,15.81875,9.583333,0.43125,8.333333,6.666667,8.333333,6.666667,0.0,0.0,16.6375,0.0,0.973688
2,2035,3,2035-03,BASE,70.0,16.6375,9.583333,0.43125,8.333333,6.666667,8.333333,6.666667,0.0,0.0,17.45625,0.0,1.022813
3,2035,4,2035-04,BASE,70.0,17.45625,9.583333,0.43125,8.333333,6.666667,8.333333,6.666667,0.0,0.0,18.275,0.0,1.071938
4,2035,5,2035-05,BASE,70.0,18.275,9.583333,0.43125,8.333333,6.666667,8.333333,6.666667,0.0,0.0,19.09375,0.0,1.121063
5,2035,6,2035-06,BASE,70.0,19.09375,9.583333,0.43125,8.333333,6.666667,8.333333,6.666667,0.0,0.0,19.9125,0.0,1.170188
6,2035,7,2035-07,BASE,70.0,19.9125,9.583333,0.43125,8.333333,6.666667,8.333333,6.666667,0.0,0.0,20.73125,0.0,1.219313
7,2035,8,2035-08,BASE,70.0,20.73125,9.583333,0.43125,8.333333,6.666667,8.333333,6.666667,0.0,0.0,21.55,0.0,1.268438
8,2035,9,2035-09,BASE,70.0,21.55,9.583333,0.43125,8.333333,6.666667,8.333333,6.666667,0.0,0.0,22.36875,0.0,1.317563
9,2035,10,2035-10,BASE,70.0,22.36875,9.583333,0.43125,8.333333,6.666667,8.333333,6.666667,0.0,0.0,23.1875,0.0,1.366688
10,2035,11,2035-11,BASE,70.0,23.1875,9.583333,0.43125,8.333333,6.666667,8.333333,6.666667,0.0,0.0,24.00625,0.0,1.415813
11,2035,12,2035-12,BASE,70.0,24.00625,9.583333,0.43125,8.333333,6.666667,8.333333,6.666667,0.0,0.0,24.825,0.0,1.464938
12,2036,1,2036-01,BASE,70.0,24.825,13.333333,0.6,11.666667,8.75,11.666667,8.75,0.0,0.0,25.891667,0.0,1.5215
13,2036,2,2036-02,BASE,70.0,25.891667,13.333333,0.6,11.666667,8.75,11.666667,8.75,0.0,0.0,26.958333,0.0,1.5855
14,2036,3,2036-03,BASE,70.0,26.958333,13.333333,0.6,11.666667,8.75,11.666667,8.75,0.0,0.0,28.025,0.0,1.6495
15,2036,4,2036-04,BASE,70.0,28.025,13.333333,0.6,11.666667,8.75,11.666667,8.75,0.0,0.0,29.091667,0.0,1.7135
16,2036,5,2036-05,BASE,70.0,29.091667,13.333333,0.6,11.666667,8.75,11.666667,8.75,0.0,0.0,30.158333,0.0,1.7775
17,2036,6,2036-06,BASE,70.0,30.158333,13.333333,0.6,11.666667,8.75,11.666667,8.75,0.0,0.0,31.225,0.0,1.8415
18,2036,7,2036-07,BASE,70.0,31.225,13.333333,0.6,11.666667,8.75,11.666667,8.75,0.0,0.0,32.291667,0.0,1.9055
19,2036,8,2036-08,BASE,70.0,32.291667,13.333333,0.6,11.666667,8.75,11.666667,8.75,0.0,0.0,33.358333,0.0,1.9695
20,2036,9,2036-09,BASE,70.0,33.358333,13.333333,0.6,11.666667,8.75,11.666667,8.75,0.0,0.0,34.425,0.0,2.0335
21,2036,10,2036-10,BASE,70.0,34.425,13.333333,0.6,11.666667,8.75,11.666667,8.75,0.0,0.0,35.491667,0.0,2.0975
22,2036,11,2036-11,BASE,70.0,35.491667,13.333333,0.6,11.666667,8.75,11.666667,8.75,0.0,0.0,36.558333,0.0,2.1615
23,2036,12,2036-12,BASE,70.0,36.558333,13.333333,0.6,11.666667,8.75,11.666667,8.75,0.0,0.0,37.625,0.0,2.2255
24,2037,1,2037-01,ZBO,120.0,37.625,17.083333,0.205,15.833333,11.25,15.833333,11.25,0.0,0.0,38.67,0.0,2.28885
25,2037,2,2037-02,ZBO,120.0,38.67,17.083333,0.205,15.833333,11.25,15.833333,11.25,0.0,0.0,39.715,0.0,2.35155
26,2037,3,2037-03,ZBO,120.0,39.715,17.083333,0.205,15.833333,11.25,15.833333,11.25,0.0,0.0,40.76,0.0,2.41425
27,2037,4,2037-04,ZBO,120.0,40.76,17.083333,0.205,15.833333,11.25,15.833333,11.25,0.0,0.0,41.805,0.0,2.47695
28,2037,5,2037-05,ZBO,120.0,41.805,17.083333,0.205,15.833333,11.25,15.833333,11.25,0.0,0.0,42.85,0.0,2.53965
29,2037,6,2037-06,ZBO,120.0,42.85,17.083333,0.205,15.833333,11.25,15.833333,11.25,0.0,0.0,43.895,0.0,2.60235
30,2037,7,2037-07,ZBO,120.0,43.895,17.083333,0.205,15.833333,11.25,15.833333,11.25,0.0,0.0,44.94,0.0,2.66505
31,2037,8,2037-08,ZBO,120.0,44.94,17.083333,0.205,15.833333,11.25,15.833333,11.25,0.0,0.0,45.985,0.0,2.72775
32,2037,9,2037-09,ZBO,120.0,45.985,17.083333,0.205,15.833333,11.25,15.833333,11.25,0.0,0.0,47.03,0.0,2.79045
33,2037,10,2037-10,ZBO,120.0,47.03,17.083333,0.205,15.833333,11.25,15.833333,11.25,0.0,0.0,48.075,0.0,2.85315
34,2037,11,2037-11,ZBO,120.0,48.075,17.083333,0.205,15.833333,11.25,15.833333,11.25,0.0,0.0,49.12,0.0,2.91585
35,2037,12,2037-12,ZBO,120.0,49.12,17.083333,0.205,15.833333,11.25,15.833333,11.25,0.0,0.0,50.165,0.0,2.97855
36,2038,1,2038-01,ZBO,120.0,50.165,20.0,0.24,20.833333,14.166667,20.833333,14.166667,0.0,0.0,49.091667,0.0,2.9777
37,2038,2,2038-02,ZBO,120.0,49.091667,20.0,0.24,20.833333,14.166667,20.833333,14.166667,0.0,0.0,48.018333,0.0,2.9133
38,2038,3,2038-03,ZBO,120.0,48.018333,24.0,0.288,20.833333,14.166667,20.833333,14.166667,0.0,0.0,50.897,0.0,2.96746
39,2038,4,2038-04,ZBO,120.0,50.897,24.0,0.288,20.833333,14.166667,20.833333,14.166667,0.0,0.0,53.775667,0.0,3.14018
40,2038,5,2038-05,ZBO,120.0,53.775667,24.0,0.288,20.833333,14.166667,20.833333,14.166667,0.0,0.0,56.654333,0.0,3.3129
41,2038,6,2038-06,ZBO,120.0,56.654333,24.0,0.288,20.833333,14.166667,20.833333,14.166667,0.0,0.0,59.533,0.0,3.48562
42,2038,7,2038-07,ZBO,120.0,59.533,24.0,0.288,20.833333,14.166667,20.833333,14.166667,0.0,0.0,62.411667,0.0,3.65834
