plan_id,scenario_id,discount_rate,feasible,hard_violations,pv_total_mln,total_cost_mln,capex_total_mln,shortage_total_t,min_reserve_days,min_service_critical,cost_per_served_t_mln,violations
base-v1,BASE,0.08,True,0,9927.0,12252.8,1790.0,0.0,54.8,1.0,8.815,
base-v1,MANDATORY_STRESS,0.08,False,2,10215.7,12623.1,1790.0,83.6,0.0,1.0,8.703,RESERVE_45D 2039; RESERVE_45D 2040
broken,BASE,0.08,False,12,9633.2,10980.4,180.0,212.7,31.9,0.6442,9.326,CAPACITY_EXCEEDED 2035; INVESTMENT_NOT_AVAILABLE 2035; STORAGE_CAPACITY 2035; ORDER_EXCEEDS_RESERVATION 2036; STORAGE_CAPACITY 2036; STORAGE_CAPACITY 2037; SOURCE_UNAVAILABLE 2038; STORAGE_CAPACITY 2038; STORAGE_CAPACITY 2039; BASE_CRITICAL_SERVICE 2040; BASE_TOTAL_SERVICE 2040; RESERVE_45D 2040
broken,MANDATORY_STRESS,0.08,False,13,9947.3,11390.1,180.0,356.6,0.0,0.4983,9.674,CAPACITY_EXCEEDED 2035; INVESTMENT_NOT_AVAILABLE 2035; STORAGE_CAPACITY 2035; ORDER_EXCEEDS_RESERVATION 2036; STORAGE_CAPACITY 2036; STORAGE_CAPACITY 2037; SOURCE_UNAVAILABLE 2038; STORAGE_CAPACITY 2038; STRESS_LOSS_LIMIT 2038; STORAGE_CAPACITY 2039; STRESS_LOSS_LIMIT 2039; RESERVE_45D 2040; STRESS_LOSS_LIMIT 2040
earth-only,BASE,0.08,True,0,9466.5,11914.9,540.0,0.0,54.8,1.0,8.572,
earth-only,MANDATORY_STRESS,0.08,False,2,9972.5,12569.8,540.0,31.3,22.0,1.0,8.365,RESERVE_45D 2039; RESERVE_45D 2040
no-investments,BASE,0.08,False,2,8585.8,10643.3,0.0,90.5,12.1,1.0,8.19,BASE_TOTAL_SERVICE 2040; RESERVE_45D 2040
no-investments,MANDATORY_STRESS,0.08,False,5,9330.7,11619.9,0.0,234.5,0.0,0.9965,8.942,STRESS_LOSS_LIMIT 2038; RESERVE_45D 2039; STRESS_LOSS_LIMIT 2039; RESERVE_45D 2040; STRESS_LOSS_LIMIT 2040
stress-response,BASE,0.08,False,2,11267.1,14100.5,1790.0,0.0,54.8,1.0,10.144,STORAGE_CAPACITY 2039; STORAGE_CAPACITY 2040
stress-response,MANDATORY_STRESS,0.08,True,0,11708.2,14668.2,1790.0,0.0,54.8,1.0,9.562,
v2-earth-response,BASE,0.08,False,2,9719.3,12275.5,540.0,0.0,52.3,1.0,8.831,STORAGE_CAPACITY 2039; STORAGE_CAPACITY 2040
v2-earth-response,MANDATORY_STRESS,0.08,True,0,10190.9,12883.2,540.0,0.0,49.1,1.0,8.398,
v2-earth,BASE,0.08,True,0,8602.3,10703.1,540.0,0.0,52.3,1.0,7.7,
v2-earth,MANDATORY_STRESS,0.08,False,1,9036.6,11263.9,540.0,139.6,0.0,1.0,8.078,RESERVE_45D 2040
v2-full-response,BASE,0.08,False,2,10443.0,12964.1,1790.0,0.0,53.9,1.0,9.327,STORAGE_CAPACITY 2039; STORAGE_CAPACITY 2040
v2-full-response,MANDATORY_STRESS,0.08,True,0,10750.1,13360.0,1790.0,0.0,45.0,1.0,8.709,
v2-full,BASE,0.08,True,0,9267.9,11314.8,1790.0,0.0,53.9,1.0,8.14,
v2-full,MANDATORY_STRESS,0.08,False,2,9467.8,11569.8,1790.0,162.1,0.0,1.0,8.433,RESERVE_45D 2039; RESERVE_45D 2040
v2-lunar-response,BASE,0.08,False,2,10293.3,12854.4,1430.0,0.0,53.9,1.0,9.248,STORAGE_CAPACITY 2039; STORAGE_CAPACITY 2040
v2-lunar-response,MANDATORY_STRESS,0.08,True,0,10679.2,13349.0,1430.0,0.0,45.0,1.0,8.702,
v2-lunar,BASE,0.08,True,0,8737.9,10648.3,1430.0,0.0,53.9,1.0,7.661,
v2-lunar,MANDATORY_STRESS,0.08,False,2,9022.0,11011.1,1430.0,203.6,0.0,1.0,8.276,RESERVE_45D 2039; RESERVE_45D 2040
v3-earth-response,BASE,0.08,False,2,9714.7,12235.8,540.0,0.0,54.8,1.0,8.803,STORAGE_CAPACITY 2039; STORAGE_CAPACITY 2040
v3-earth-response,MANDATORY_STRESS,0.08,True,0,10202.3,12869.1,540.0,0.0,48.1,1.0,8.389,
v3-earth,BASE,0.08,True,0,8643.5,10732.0,540.0,0.0,54.8,1.0,7.721,
v3-earth,MANDATORY_STRESS,0.08,False,1,9056.8,11268.5,540.0,140.6,0.0,1.0,8.087,RESERVE_45D 2040
v3-full-response,BASE,0.08,False,2,10408.7,12916.4,1790.0,0.0,54.8,1.0,9.292,STORAGE_CAPACITY 2039; STORAGE_CAPACITY 2040
v3-full-response,MANDATORY_STRESS,0.08,True,0,10721.5,13320.0,1790.0,0.0,45.0,1.0,8.683,
v3-full,BASE,0.08,True,0,9288.6,11342.2,1790.0,0.0,54.8,1.0,8.16,
v3-full,MANDATORY_STRESS,0.08,False,2,9491.1,11600.5,1790.0,157.3,0.0,1.0,8.426,RESERVE_45D 2039; RESERVE_45D 2040
v3-lunar-response,BASE,0.08,False,2,10373.4,12915.2,1430.0,0.0,54.8,1.0,9.291,STORAGE_CAPACITY 2039; STORAGE_CAPACITY 2040
v3-lunar-response,MANDATORY_STRESS,0.08,True,0,10638.0,13249.4,1430.0,0.0,45.0,1.0,8.637,
v3-lunar,BASE,0.08,True,0,8683.6,10547.1,1430.0,0.0,54.8,1.0,7.588,
v3-lunar,MANDATORY_STRESS,0.08,False,2,8917.3,10846.1,1430.0,203.2,0.0,1.0,8.15,RESERVE_45D 2039; RESERVE_45D 2040
