plan_id,scenario_id,feasible,hard_violations,pv_total_mln,total_cost_mln,capex_total_mln,shortage_total_t,min_reserve_days,min_service_critical,cost_per_served_t_mln,violations
v3-earth,BASE,True,0,8643.5,10732.0,540.0,0.0,54.8,1.0,7.721,
v3-earth,TEAM_LOW_DEMAND,False,5,8984.2,11184.9,540.0,0.0,68.4,1.0,10.058,STORAGE_CAPACITY 2036; STORAGE_CAPACITY 2037; STORAGE_CAPACITY 2038; STORAGE_CAPACITY 2039; STORAGE_CAPACITY 2040
v3-earth,TEAM_HIGH_DEMAND,False,7,8511.0,10562.3,540.0,279.6,0.0,1.0,7.58,RESERVE_45D 2036; BASE_TOTAL_SERVICE 2038; RESERVE_45D 2038; BASE_TOTAL_SERVICE 2039; RESERVE_45D 2039; BASE_TOTAL_SERVICE 2040; RESERVE_45D 2040
v3-earth,MANDATORY_STRESS,False,1,9056.8,11268.5,540.0,140.6,0.0,1.0,8.087,RESERVE_45D 2040
v3-earth,TEAM_GEO_PRICE,True,0,10532.7,13304.4,540.0,0.0,54.8,1.0,9.571,
v3-full,BASE,True,0,9288.6,11342.2,1790.0,0.0,54.8,1.0,8.16,
v3-full,TEAM_LOW_DEMAND,False,5,9629.3,11795.1,1790.0,0.0,68.4,1.0,10.607,STORAGE_CAPACITY 2036; STORAGE_CAPACITY 2037; STORAGE_CAPACITY 2038; STORAGE_CAPACITY 2039; STORAGE_CAPACITY 2040
v3-full,TEAM_HIGH_DEMAND,False,6,9124.1,11127.1,1790.0,254.1,0.0,0.9959,7.842,RESERVE_45D 2037; RESERVE_45D 2038; BASE_TOTAL_SERVICE 2039; RESERVE_45D 2039; BASE_TOTAL_SERVICE 2040; RESERVE_45D 2040
v3-full,MANDATORY_STRESS,False,2,9491.1,11600.5,1790.0,157.3,0.0,1.0,8.426,RESERVE_45D 2039; RESERVE_45D 2040
v3-full,TEAM_GEO_PRICE,True,0,10786.4,13365.6,1790.0,0.0,54.8,1.0,9.616,
v3-lunar,BASE,True,0,8683.6,10547.1,1430.0,0.0,54.8,1.0,7.588,
v3-lunar,TEAM_LOW_DEMAND,False,5,9024.3,11000.0,1430.0,0.0,68.4,1.0,9.892,STORAGE_CAPACITY 2036; STORAGE_CAPACITY 2037; STORAGE_CAPACITY 2038; STORAGE_CAPACITY 2039; STORAGE_CAPACITY 2040
v3-lunar,TEAM_HIGH_DEMAND,False,7,8522.2,10337.4,1430.0,279.3,0.0,0.9327,7.417,RESERVE_45D 2036; RESERVE_45D 2037; BASE_TOTAL_SERVICE 2039; RESERVE_45D 2039; BASE_CRITICAL_SERVICE 2040; BASE_TOTAL_SERVICE 2040; RESERVE_45D 2040
v3-lunar,MANDATORY_STRESS,False,2,8917.3,10846.1,1430.0,203.2,0.0,1.0,8.15,RESERVE_45D 2039; RESERVE_45D 2040
v3-lunar,TEAM_GEO_PRICE,True,0,10006.3,12334.4,1430.0,0.0,54.8,1.0,8.874,
base-v1,BASE,True,0,9927.0,12252.8,1790.0,0.0,54.8,1.0,8.815,
base-v1,TEAM_LOW_DEMAND,False,5,10267.7,12705.6,1790.0,0.0,68.4,1.0,11.426,STORAGE_CAPACITY 2036; STORAGE_CAPACITY 2037; STORAGE_CAPACITY 2038; STORAGE_CAPACITY 2039; STORAGE_CAPACITY 2040
base-v1,TEAM_HIGH_DEMAND,False,8,9773.1,12050.7,1790.0,195.0,0.0,1.0,8.153,RESERVE_45D 2036; RESERVE_45D 2037; BASE_TOTAL_SERVICE 2038; RESERVE_45D 2038; BASE_TOTAL_SERVICE 2039; RESERVE_45D 2039; BASE_TOTAL_SERVICE 2040; RESERVE_45D 2040
base-v1,MANDATORY_STRESS,False,2,10215.7,12623.1,1790.0,83.6,0.0,1.0,8.703,RESERVE_45D 2039; RESERVE_45D 2040
base-v1,TEAM_GEO_PRICE,True,0,11683.3,14648.1,1790.0,0.0,54.8,1.0,10.538,
