plan_id,scenario_id,discount_rate,feasible,hard_violations,pv_total_mln,total_cost_mln,capex_total_mln,shortage_total_t,min_reserve_days,min_service_critical,cost_per_served_t_mln,violations
v3-earth,BASE,0.0,True,0,10732.0,10732.0,540.0,0.0,54.8,1.0,7.721,
v3-lunar,BASE,0.0,True,0,10547.1,10547.1,1430.0,0.0,54.8,1.0,7.588,
v3-full,BASE,0.0,True,0,11342.2,11342.2,1790.0,0.0,54.8,1.0,8.16,
base-v1,BASE,0.0,True,0,12252.8,12252.8,1790.0,0.0,54.8,1.0,8.815,
v3-earth,BASE,0.04,True,0,9591.9,10732.0,540.0,0.0,54.8,1.0,7.721,
v3-lunar,BASE,0.04,True,0,9535.3,10547.1,1430.0,0.0,54.8,1.0,7.588,
v3-full,BASE,0.04,True,0,10225.7,11342.2,1790.0,0.0,54.8,1.0,8.16,
base-v1,BASE,0.04,True,0,10984.9,12252.8,1790.0,0.0,54.8,1.0,8.815,
v3-earth,BASE,0.06,True,0,9096.5,10732.0,540.0,0.0,54.8,1.0,7.721,
v3-lunar,BASE,0.06,True,0,9091.6,10547.1,1430.0,0.0,54.8,1.0,7.588,
v3-full,BASE,0.06,True,0,9737.2,11342.2,1790.0,0.0,54.8,1.0,8.16,
base-v1,BASE,0.06,True,0,10432.6,12252.8,1790.0,0.0,54.8,1.0,8.815,
v3-earth,BASE,0.08,True,0,8643.5,10732.0,540.0,0.0,54.8,1.0,7.721,
v3-lunar,BASE,0.08,True,0,8683.6,10547.1,1430.0,0.0,54.8,1.0,7.588,
v3-full,BASE,0.08,True,0,9288.6,11342.2,1790.0,0.0,54.8,1.0,8.16,
base-v1,BASE,0.08,True,0,9927.0,12252.8,1790.0,0.0,54.8,1.0,8.815,
v3-earth,BASE,0.12,True,0,7847.4,10732.0,540.0,0.0,54.8,1.0,7.721,
v3-lunar,BASE,0.12,True,0,7960.3,10547.1,1430.0,0.0,54.8,1.0,7.588,
v3-full,BASE,0.12,True,0,8495.1,11342.2,1790.0,0.0,54.8,1.0,8.16,
base-v1,BASE,0.12,True,0,9036.5,12252.8,1790.0,0.0,54.8,1.0,8.815,
