plan_id,scenario_base,parameter,value,feasible,hard_violations,pv_total_mln,shortage_total_t,min_reserve_days,first_violation
base-v1,BASE,demand,1.0,True,0,9927.0,0.0,54.8,
base-v1,BASE,demand,1.05,True,0,9893.9,0.0,48.4,
base-v1,BASE,demand,1.1,False,1,9861.2,8.0,22.0,RESERVE_45D 2040
base-v1,BASE,demand,1.15,False,3,9842.0,56.0,0.0,RESERVE_45D 2039
base-v1,BASE,demand,1.2,False,4,9832.0,104.0,0.0,BASE_TOTAL_SERVICE 2039
base-v1,BASE,demand,1.25,False,4,9825.8,152.0,0.0,BASE_TOTAL_SERVICE 2039
base-v1,BASE,demand,1.3,False,4,9821.5,200.0,0.0,BASE_TOTAL_SERVICE 2039
base-v1,BASE,demand,1.35,False,5,9818.6,248.0,0.0,BASE_TOTAL_SERVICE 2038
base-v1,BASE,demand,1.4,False,5,9816.7,296.0,0.0,BASE_TOTAL_SERVICE 2038
base-v1,BASE,isru,1.0,True,0,9927.0,0.0,54.8,
base-v1,BASE,isru,0.95,True,0,9904.8,0.0,54.8,
base-v1,BASE,isru,0.9,True,0,9882.5,0.0,54.8,
base-v1,BASE,isru,0.85,True,0,9860.2,0.0,54.8,
base-v1,BASE,isru,0.8,True,0,9837.9,0.0,54.8,
base-v1,BASE,isru,0.75,True,0,9815.6,0.0,54.8,
base-v1,BASE,isru,0.7,True,0,9793.3,0.0,54.8,
base-v1,BASE,isru,0.65,True,0,9771.1,0.0,51.6,
base-v1,BASE,isru,0.6,True,0,9748.8,0.0,47.9,
base-v1,BASE,isru,0.55,False,1,9726.5,0.0,44.2,RESERVE_45D 2040
base-v1,BASE,isru,0.5,False,1,9704.2,0.0,40.5,RESERVE_45D 2040
base-v1,BASE,isru,0.45,False,1,9681.9,0.0,36.8,RESERVE_45D 2040
base-v1,BASE,isru,0.4,False,1,9659.9,6.8,33.2,RESERVE_45D 2040
base-v1,BASE,price,1.0,True,0,9927.0,0.0,54.8,
base-v1,BASE,price,1.05,True,0,10057.2,0.0,54.8,
base-v1,BASE,price,1.1,True,0,10187.3,0.0,54.8,
base-v1,BASE,price,1.15,True,0,10317.5,0.0,54.8,
base-v1,BASE,price,1.2,True,0,10447.6,0.0,54.8,
base-v1,BASE,price,1.25,True,0,10577.7,0.0,54.8,
base-v1,BASE,price,1.3,True,0,10707.9,0.0,54.8,
base-v1,BASE,price,1.35,True,0,10838.0,0.0,54.8,
base-v1,BASE,price,1.4,True,0,10968.1,0.0,54.8,
base-v1,BASE,price,1.45,True,0,11098.3,0.0,54.8,
base-v1,BASE,price,1.5,True,0,11228.4,0.0,54.8,
base-v1,BASE,price,1.55,True,0,11358.5,0.0,54.8,
base-v1,BASE,price,1.6,True,0,11488.7,0.0,54.8,
base-v1,BASE,flex_delivery,1.0,True,0,9927.0,0.0,54.8,
base-v1,BASE,flex_delivery,0.9,True,0,9927.0,0.0,54.8,
base-v1,BASE,flex_delivery,0.8,True,0,9927.0,0.0,54.8,
base-v1,BASE,flex_delivery,0.7,True,0,9927.0,0.0,54.8,
base-v1,BASE,flex_delivery,0.6,True,0,9927.0,0.0,54.8,
base-v1,BASE,flex_delivery,0.5,True,0,9927.0,0.0,54.8,
base-v1,BASE,flex_delivery,0.4,True,0,9927.0,0.0,54.8,
base-v1,BASE,flex_delivery,0.3,True,0,9927.0,0.0,54.8,
