plan_id,scenario_base,parameter,value,feasible,hard_violations,pv_total_mln,shortage_total_t,min_reserve_days,first_violation
v2-earth-response,MANDATORY_STRESS,demand,1.0,True,0,9881.7,1.9,45.0,
v2-earth-response,MANDATORY_STRESS,demand,1.05,False,2,9853.5,57.1,18.2,RESERVE_45D 2039
v2-earth-response,MANDATORY_STRESS,demand,1.1,False,2,9836.1,112.3,0.0,RESERVE_45D 2039
v2-earth-response,MANDATORY_STRESS,demand,1.15,False,3,9829.5,167.5,0.0,RESERVE_45D 2038
v2-earth-response,MANDATORY_STRESS,demand,1.2,False,3,9826.4,222.7,0.0,RESERVE_45D 2038
v2-earth-response,MANDATORY_STRESS,demand,1.25,False,3,9824.6,277.9,0.0,RESERVE_45D 2038
v2-earth-response,MANDATORY_STRESS,demand,1.3,False,3,9823.4,333.1,0.0,RESERVE_45D 2038
v2-earth-response,MANDATORY_STRESS,demand,1.35,False,3,9822.6,388.3,0.0,RESERVE_45D 2038
v2-earth-response,MANDATORY_STRESS,demand,1.4,False,3,9822.0,443.5,0.0,RESERVE_45D 2038
v2-earth-response,MANDATORY_STRESS,flex_delivery,1.0,True,0,9881.7,1.9,45.0,
v2-earth-response,MANDATORY_STRESS,flex_delivery,0.9,False,1,9774.3,16.3,40.6,RESERVE_45D 2040
v2-earth-response,MANDATORY_STRESS,flex_delivery,0.8,False,1,9668.0,30.6,35.4,RESERVE_45D 2040
v2-earth-response,MANDATORY_STRESS,flex_delivery,0.7,False,1,9562.6,44.9,30.1,RESERVE_45D 2040
v2-earth-response,MANDATORY_STRESS,flex_delivery,0.6,False,1,9457.7,59.2,24.9,RESERVE_45D 2040
v2-earth-response,MANDATORY_STRESS,flex_delivery,0.5,False,1,9353.3,73.6,19.7,RESERVE_45D 2040
v2-earth-response,MANDATORY_STRESS,flex_delivery,0.4,False,1,9249.2,87.9,14.5,RESERVE_45D 2040
v2-earth-response,MANDATORY_STRESS,flex_delivery,0.3,False,1,9145.5,102.2,9.2,RESERVE_45D 2040
v2-earth-response,MANDATORY_STRESS,price,1.0,True,0,9881.7,1.9,45.0,
v2-earth-response,MANDATORY_STRESS,price,1.1,True,0,10273.2,1.9,45.0,
v2-earth-response,MANDATORY_STRESS,price,1.2,True,0,10664.8,1.9,45.0,
v2-earth-response,MANDATORY_STRESS,price,1.3,True,0,11056.3,1.9,45.0,
v2-earth-response,MANDATORY_STRESS,price,1.4,True,0,11447.8,1.9,45.0,
v2-earth-response,MANDATORY_STRESS,price,1.5,True,0,11839.3,1.9,45.0,
v2-earth-response,MANDATORY_STRESS,price,1.6,True,0,12230.9,1.9,45.0,
