plan_id,scenario_base,parameter,value,feasible,hard_violations,pv_total_mln,shortage_total_t,min_reserve_days,first_violation
v2-earth,BASE,demand,1.0,True,0,8602.3,0.0,52.3,
v2-earth,BASE,demand,1.05,False,2,8574.1,43.6,44.3,BASE_TOTAL_SERVICE 2040
v2-earth,BASE,demand,1.1,False,2,8554.2,91.6,18.1,BASE_TOTAL_SERVICE 2040
v2-earth,BASE,demand,1.15,False,2,8539.0,139.6,0.0,BASE_TOTAL_SERVICE 2040
v2-earth,BASE,demand,1.2,False,4,8529.0,187.6,0.0,BASE_TOTAL_SERVICE 2039
v2-earth,BASE,demand,1.25,False,4,8522.3,235.6,0.0,BASE_TOTAL_SERVICE 2039
v2-earth,BASE,demand,1.3,False,5,8517.3,283.6,0.0,BASE_TOTAL_SERVICE 2039
v2-earth,BASE,demand,1.35,False,5,8513.3,331.6,0.0,BASE_TOTAL_SERVICE 2039
v2-earth,BASE,demand,1.4,False,6,8510.4,379.6,0.0,BASE_TOTAL_SERVICE 2038
v2-earth,BASE,isru,1.0,True,0,8602.3,0.0,52.3,
v2-earth,BASE,isru,0.95,True,0,8602.3,0.0,52.3,
v2-earth,BASE,isru,0.9,True,0,8602.3,0.0,52.3,
v2-earth,BASE,isru,0.85,True,0,8602.3,0.0,52.3,
v2-earth,BASE,isru,0.8,True,0,8602.3,0.0,52.3,
v2-earth,BASE,isru,0.75,True,0,8602.3,0.0,52.3,
v2-earth,BASE,isru,0.7,True,0,8602.3,0.0,52.3,
v2-earth,BASE,isru,0.65,True,0,8602.3,0.0,52.3,
v2-earth,BASE,isru,0.6,True,0,8602.3,0.0,52.3,
v2-earth,BASE,isru,0.55,True,0,8602.3,0.0,52.3,
v2-earth,BASE,isru,0.5,True,0,8602.3,0.0,52.3,
v2-earth,BASE,isru,0.45,True,0,8602.3,0.0,52.3,
v2-earth,BASE,isru,0.4,True,0,8602.3,0.0,52.3,
v2-earth,BASE,price,1.0,True,0,8602.3,0.0,52.3,
v2-earth,BASE,price,1.05,True,0,8741.9,0.0,52.3,
v2-earth,BASE,price,1.1,True,0,8881.5,0.0,52.3,
v2-earth,BASE,price,1.15,True,0,9021.0,0.0,52.3,
v2-earth,BASE,price,1.2,True,0,9160.6,0.0,52.3,
v2-earth,BASE,price,1.25,True,0,9300.2,0.0,52.3,
v2-earth,BASE,price,1.3,True,0,9439.8,0.0,52.3,
v2-earth,BASE,price,1.35,True,0,9579.4,0.0,52.3,
v2-earth,BASE,price,1.4,True,0,9719.0,0.0,52.3,
v2-earth,BASE,price,1.45,True,0,9858.6,0.0,52.3,
v2-earth,BASE,price,1.5,True,0,9998.2,0.0,52.3,
v2-earth,BASE,price,1.55,True,0,10137.8,0.0,52.3,
v2-earth,BASE,price,1.6,True,0,10277.4,0.0,52.3,
v2-earth,BASE,flex_delivery,1.0,True,0,8602.3,0.0,52.3,
v2-earth,BASE,flex_delivery,0.9,True,0,8577.2,0.0,52.3,
v2-earth,BASE,flex_delivery,0.8,True,0,8552.2,1.5,52.3,
v2-earth,BASE,flex_delivery,0.7,True,0,8527.2,4.5,52.3,
v2-earth,BASE,flex_delivery,0.6,True,0,8502.2,7.5,52.3,
v2-earth,BASE,flex_delivery,0.5,True,0,8477.3,10.4,52.3,
v2-earth,BASE,flex_delivery,0.4,False,1,8452.5,13.4,52.3,BASE_TOTAL_SERVICE 2040
v2-earth,BASE,flex_delivery,0.3,False,1,8427.7,16.4,52.3,BASE_TOTAL_SERVICE 2040
