plan_id,scenario_base,parameter,value,feasible,hard_violations,pv_total_mln,shortage_total_t,min_reserve_days,first_violation,pv_v3-lunar,feasible_v3-lunar
v3-earth,BASE,price,1.0,True,0,8643.5,0.0,54.8,,8683.6,True
v3-earth,BASE,price,1.05,True,0,8781.1,0.0,54.8,,8815.9,True
v3-earth,BASE,price,1.1,True,0,8918.8,0.0,54.8,,8948.1,True
v3-earth,BASE,price,1.15,True,0,9056.4,0.0,54.8,,9080.4,True
v3-earth,BASE,price,1.2,True,0,9194.0,0.0,54.8,,9212.7,True
v3-earth,BASE,price,1.25,True,0,9331.7,0.0,54.8,,9344.9,True
v3-earth,BASE,price,1.3,True,0,9469.3,0.0,54.8,,9477.2,True
v3-earth,BASE,price,1.35,True,0,9607.0,0.0,54.8,,9609.5,True
v3-earth,BASE,price,1.4,True,0,9744.6,0.0,54.8,,9741.8,True
v3-earth,BASE,price,1.45,True,0,9882.2,0.0,54.8,,9874.0,True
v3-earth,BASE,price,1.5,True,0,10019.9,0.0,54.8,,10006.3,True
v3-earth,BASE,price,1.55,True,0,10157.5,0.0,54.8,,10138.6,True
v3-earth,BASE,price,1.6,True,0,10295.1,0.0,54.8,,10270.8,True
