plan_id,scenario_base,parameter,value,feasible,hard_violations,pv_total_mln,shortage_total_t,min_reserve_days,first_violation
v3-full,BASE,demand,1.0,True,0,9288.6,0.0,54.8,
v3-full,BASE,demand,1.05,False,1,9256.3,19.1,54.8,BASE_TOTAL_SERVICE 2040
v3-full,BASE,demand,1.1,False,2,9231.6,67.1,43.1,BASE_TOTAL_SERVICE 2040
v3-full,BASE,demand,1.15,False,2,9212.7,115.1,18.1,BASE_TOTAL_SERVICE 2040
v3-full,BASE,demand,1.2,False,2,9197.6,163.1,0.0,BASE_TOTAL_SERVICE 2040
v3-full,BASE,demand,1.25,False,4,9186.8,211.1,0.0,BASE_TOTAL_SERVICE 2039
v3-full,BASE,demand,1.3,False,5,9179.2,259.1,0.0,BASE_TOTAL_SERVICE 2039
v3-full,BASE,demand,1.35,False,5,9173.4,307.1,0.0,BASE_TOTAL_SERVICE 2039
v3-full,BASE,demand,1.4,False,5,9168.8,355.1,0.0,BASE_TOTAL_SERVICE 2039
v3-full,BASE,isru,1.0,True,0,9288.6,0.0,54.8,
v3-full,BASE,isru,0.95,True,0,9255.5,0.0,54.8,
v3-full,BASE,isru,0.9,True,0,9222.5,0.0,54.8,
v3-full,BASE,isru,0.85,True,0,9189.6,5.9,54.8,
v3-full,BASE,isru,0.8,False,1,9157.2,17.5,54.8,BASE_TOTAL_SERVICE 2040
v3-full,BASE,isru,0.75,False,1,9125.4,29.1,54.8,BASE_TOTAL_SERVICE 2040
v3-full,BASE,isru,0.7,False,1,9094.0,40.7,54.8,BASE_TOTAL_SERVICE 2040
v3-full,BASE,isru,0.65,False,1,9063.0,52.3,54.8,BASE_TOTAL_SERVICE 2040
v3-full,BASE,isru,0.6,False,1,9032.3,63.9,54.8,BASE_TOTAL_SERVICE 2040
v3-full,BASE,isru,0.55,False,1,9001.9,75.6,53.0,BASE_TOTAL_SERVICE 2040
v3-full,BASE,isru,0.5,False,1,8971.8,87.2,47.6,BASE_TOTAL_SERVICE 2040
v3-full,BASE,isru,0.45,False,3,8941.9,98.8,42.3,BASE_CRITICAL_SERVICE 2040
v3-full,BASE,isru,0.4,False,3,8912.2,110.4,37.0,BASE_CRITICAL_SERVICE 2040
v3-full,BASE,price,1.0,True,0,9288.6,0.0,54.8,
v3-full,BASE,price,1.05,True,0,9404.2,0.0,54.8,
v3-full,BASE,price,1.1,True,0,9519.9,0.0,54.8,
v3-full,BASE,price,1.15,True,0,9635.5,0.0,54.8,
v3-full,BASE,price,1.2,True,0,9751.2,0.0,54.8,
v3-full,BASE,price,1.25,True,0,9866.8,0.0,54.8,
v3-full,BASE,price,1.3,True,0,9982.5,0.0,54.8,
v3-full,BASE,price,1.35,True,0,10098.2,0.0,54.8,
v3-full,BASE,price,1.4,True,0,10213.8,0.0,54.8,
v3-full,BASE,price,1.45,True,0,10329.5,0.0,54.8,
v3-full,BASE,price,1.5,True,0,10445.1,0.0,54.8,
v3-full,BASE,price,1.55,True,0,10560.8,0.0,54.8,
v3-full,BASE,price,1.6,True,0,10676.4,0.0,54.8,
v3-full,BASE,flex_delivery,1.0,True,0,9288.6,0.0,54.8,
v3-full,BASE,flex_delivery,0.9,True,0,9288.6,0.0,54.8,
v3-full,BASE,flex_delivery,0.8,True,0,9288.6,0.0,54.8,
v3-full,BASE,flex_delivery,0.7,True,0,9288.6,0.0,54.8,
v3-full,BASE,flex_delivery,0.6,True,0,9288.6,0.0,54.8,
v3-full,BASE,flex_delivery,0.5,True,0,9288.6,0.0,54.8,
v3-full,BASE,flex_delivery,0.4,True,0,9288.6,0.0,54.8,
v3-full,BASE,flex_delivery,0.3,True,0,9288.6,0.0,54.8,
