index,year,month,period,storage_id,capacity_t,opening_t,inflow_t,losses_t,demand_t,demand_critical_t,served_t,served_critical_t,shortage_t,shortage_critical_t,closing_t,overflow_t,holding_mln
0,2035,1,2035-01,BASE,70.0,15.0,9.583333,0.43125,8.333333,6.666667,8.333333,6.666667,0.0,0.0,15.81875,0.0,0.924562
1,2035,2,2035-02,BASE,70.0,15.81875,9.583333,0.43125,8.333333,6.666667,8.333333,6.666667,0.0,0.0,16.6375,0.0,0.973688
2,2035,3,2035-03,BASE,70.0,16.6375,9.583333,0.43125,8.333333,6.666667,8.333333,6.666667,0.0,0.0,17.45625,0.0,1.022813
3,2035,4,2035-04,BASE,70.0,17.45625,9.583333,0.43125,8.333333,6.666667,8.333333,6.666667,0.0,0.0,18.275,0.0,1.071938
4,2035,5,2035-05,BASE,70.0,18.275,9.583333,0.43125,8.333333,6.666667,8.333333,6.666667,0.0,0.0,19.09375,0.0,1.121063
5,2035,6,2035-06,BASE,70.0,19.09375,9.583333,0.43125,8.333333,6.666667,8.333333,6.666667,0.0,0.0,19.9125,0.0,1.170188
6,2035,7,2035-07,BASE,70.0,19.9125,9.583333,0.43125,8.333333,6.666667,8.333333,6.666667,0.0,0.0,20.73125,0.0,1.219313
7,2035,8,2035-08,BASE,70.0,20.73125,9.583333,0.43125,8.333333,6.666667,8.333333,6.666667,0.0,0.0,21.55,0.0,1.268438
8,2035,9,2035-09,BASE,70.0,21.55,9.583333,0.43125,8.333333,6.666667,8.333333,6.666667,0.0,0.0,22.36875,0.0,1.317563
9,2035,10,2035-10,BASE,70.0,22.36875,9.583333,0.43125,8.333333,6.666667,8.333333,6.666667,0.0,0.0,23.1875,0.0,1.366688
10,2035,11,2035-11,BASE,70.0,23.1875,9.583333,0.43125,8.333333,6.666667,8.333333,6.666667,0.0,0.0,24.00625,0.0,1.415813
11,2035,12,2035-12,BASE,70.0,24.00625,9.583333,0.43125,8.333333,6.666667,8.333333,6.666667,0.0,0.0,24.825,0.0,1.464938
12,2036,1,2036-01,BASE,70.0,24.825,15.0,0.675,11.666667,8.75,11.666667,8.75,0.0,0.0,27.483333,0.0,1.56925
13,2036,2,2036-02,BASE,70.0,27.483333,15.0,0.675,11.666667,8.75,11.666667,8.75,0.0,0.0,30.141667,0.0,1.72875
14,2036,3,2036-03,BASE,70.0,30.141667,15.0,0.675,11.666667,8.75,11.666667,8.75,0.0,0.0,32.8,0.0,1.88825
15,2036,4,2036-04,BASE,70.0,32.8,15.0,0.675,11.666667,8.75,11.666667,8.75,0.0,0.0,35.458333,0.0,2.04775
16,2036,5,2036-05,BASE,70.0,35.458333,15.0,0.675,11.666667,8.75,11.666667,8.75,0.0,0.0,38.116667,0.0,2.20725
17,2036,6,2036-06,BASE,70.0,38.116667,15.0,0.675,11.666667,8.75,11.666667,8.75,0.0,0.0,40.775,0.0,2.36675
18,2036,7,2036-07,BASE,70.0,40.775,15.0,0.675,11.666667,8.75,11.666667,8.75,0.0,0.0,43.433333,0.0,2.52625
19,2036,8,2036-08,BASE,70.0,43.433333,15.0,0.675,11.666667,8.75,11.666667,8.75,0.0,0.0,46.091667,0.0,2.68575
20,2036,9,2036-09,BASE,70.0,46.091667,15.0,0.675,11.666667,8.75,11.666667,8.75,0.0,0.0,48.75,0.0,2.84525
21,2036,10,2036-10,BASE,70.0,48.75,15.0,0.675,11.666667,8.75,11.666667,8.75,0.0,0.0,51.408333,0.0,3.00475
22,2036,11,2036-11,BASE,70.0,51.408333,15.0,0.675,11.666667,8.75,11.666667,8.75,0.0,0.0,54.066667,0.0,3.16425
23,2036,12,2036-12,BASE,70.0,54.066667,15.0,0.675,11.666667,8.75,11.666667,8.75,0.0,0.0,56.725,0.0,3.32375
24,2037,1,2037-01,ZBO,120.0,56.725,15.833333,0.19,15.833333,11.25,15.833333,11.25,0.0,0.0,56.535,0.0,3.3978
25,2037,2,2037-02,ZBO,120.0,56.535,15.833333,0.19,15.833333,11.25,15.833333,11.25,0.0,0.0,56.345,0.0,3.3864
26,2037,3,2037-03,ZBO,120.0,56.345,15.833333,0.19,15.833333,11.25,15.833333,11.25,0.0,0.0,56.155,0.0,3.375
27,2037,4,2037-04,ZBO,120.0,56.155,15.833333,0.19,15.833333,11.25,15.833333,11.25,0.0,0.0,55.965,0.0,3.3636
28,2037,5,2037-05,ZBO,120.0,55.965,15.833333,0.19,15.833333,11.25,15.833333,11.25,0.0,0.0,55.775,0.0,3.3522
29,2037,6,2037-06,ZBO,120.0,55.775,15.833333,0.19,15.833333,11.25,15.833333,11.25,0.0,0.0,55.585,0.0,3.3408
30,2037,7,2037-07,ZBO,120.0,55.585,15.833333,0.19,15.833333,11.25,15.833333,11.25,0.0,0.0,55.395,0.0,3.3294
31,2037,8,2037-08,ZBO,120.0,55.395,15.833333,0.19,15.833333,11.25,15.833333,11.25,0.0,0.0,55.205,0.0,3.318
32,2037,9,2037-09,ZBO,120.0,55.205,15.833333,0.19,15.833333,11.25,15.833333,11.25,0.0,0.0,55.015,0.0,3.3066
33,2037,10,2037-10,ZBO,120.0,55.015,15.833333,0.19,15.833333,11.25,15.833333,11.25,0.0,0.0,54.825,0.0,3.2952
34,2037,11,2037-11,ZBO,120.0,54.825,15.833333,0.19,15.833333,11.25,15.833333,11.25,0.0,0.0,54.635,0.0,3.2838
35,2037,12,2037-12,ZBO,120.0,54.635,15.833333,0.19,15.833333,11.25,15.833333,11.25,0.0,0.0,54.445,0.0,3.2724
36,2038,1,2038-01,ZBO,120.0,54.445,23.75,0.285,23.958333,16.291667,23.958333,16.291667,0.0,0.0,53.951667,0.0,3.2519
37,2038,2,2038-02,ZBO,120.0,53.951667,23.75,0.285,23.958333,16.291667,23.958333,16.291667,0.0,0.0,53.458333,0.0,3.2223
38,2038,3,2038-03,ZBO,120.0,53.458333,23.75,0.285,23.958333,16.291667,23.958333,16.291667,0.0,0.0,52.965,0.0,3.1927
39,2038,4,2038-04,ZBO,120.0,52.965,23.75,0.285,23.958333,16.291667,23.958333,16.291667,0.0,0.0,52.471667,0.0,3.1631
40,2038,5,2038-05,ZBO,120.0,52.471667,23.75,0.285,23.958333,16.291667,23.958333,16.291667,0.0,0.0,51.978333,0.0,3.1335
41,2038,6,2038-06,ZBO,120.0,51.978333,23.75,0.285,23.958333,16.291667,23.958333,16.291667,0.0,0.0,51.485,0.0,3.1039
42,2038,7,2038-07,ZBO,120.0,51.485,23.75,0.285,23.958333,16.291667,23.958333,16.291667,0.0,0.0,50.991667,0.0,3.0743
43,2038,8,2038-08,ZBO,120.0,50.991667,23.75,0.285,23.958333,16.291667,23.958333,16.291667,0.0,0.0,50.498333,0.0,3.0447
