year,source_id,name,available,available_months,available_from,capacity_t,capacity_available_t,reserved_capacity_t,ordered_t,delivered_plan_t,delivered_actual_t,delivery_share,payable_volume_t,take_or_pay_topup_t,price_mln_per_t,base_price_mln_per_t,variable_payment_mln,reservation_payment_mln,total_payment_mln,lead_time,order_by,reliability
2035,A,Earth-Core,1,12,2035-01,190.0,190.0,100.0,100.0,100.0,100.0,1.0,100.0,0.0,6.2,6.2,620.0,45.0,665.0,12 month,"до начала горизонта (2035), обязательство принято заранее",0.96
2035,B,Earth-Flex,1,12,2035-01,110.0,110.0,15.0,15.0,15.0,15.0,1.0,15.0,0.0,8.9,8.9,133.5,2.25,135.75,4 month,"до начала горизонта (2035), обязательство принято заранее",0.985
2035,C,Earth-New,0,0,Earth-New доступен с None,130.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.1,7.1,0.0,0.0,0.0,18–24 month,,0.94
2035,D,Lunar-ISRU,0,0,канал не введён: нет инвестиционного решения,120.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1–2 month,,
2035,E,Emergency,1,12,2035-01,80.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.8,13.8,0.0,0.0,0.0,6 week,"до начала горизонта (2035), обязательство принято заранее",0.995
2036,A,Earth-Core,1,12,2036-01,190.0,190.0,140.0,140.0,140.0,140.0,1.0,140.0,0.0,6.2,6.2,868.0,63.0,931.0,12 month,2035-01,0.96
2036,B,Earth-Flex,1,12,2036-01,110.0,110.0,40.0,40.0,40.0,40.0,1.0,40.0,0.0,8.9,8.9,356.0,6.0,362.0,4 month,2035-09,0.985
2036,C,Earth-New,0,0,Earth-New доступен с None,130.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.1,7.1,0.0,0.0,0.0,18–24 month,,0.94
2036,D,Lunar-ISRU,0,0,канал не введён: нет инвестиционного решения,120.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1–2 month,,
2036,E,Emergency,1,12,2036-01,80.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.8,13.8,0.0,0.0,0.0,6 week,2035-11,0.995
